window_start,Ion,Concentration,Stream
1992-02-21,mg_mgl,2.7511111111111113,PRM
1992-02-21,nh4_ugl,NA,PRM
1992-02-21,no3_ugl,107.375,PRM
1992-02-21,ca_mgl,9.365,PRM
1992-04-24,k_mgl,0.8366666666666667,PRM
1992-04-24,mg_mgl,1.7522222222222221,PRM
1992-04-24,nh4_ugl,NA,PRM
1992-04-24,no3_ugl,54.625,PRM
1992-04-24,ca_mgl,7.101111111111111,PRM
1992-06-26,k_mgl,0.7933333333333333,PRM
1992-06-26,mg_mgl,2.1577777777777776,PRM
1992-06-26,nh4_ugl,NA,PRM
1992-06-26,no3_ugl,43.666666666666664,PRM
1992-06-26,ca_mgl,8.5,PRM
1992-08-28,k_mgl,0.9,PRM
1992-08-28,mg_mgl,2.4855555555555555,PRM
1992-08-28,nh4_ugl,NA,PRM
1992-08-28,no3_ugl,46.44444444444444,PRM
1992-08-28,ca_mgl,10.154444444444444,PRM
1992-10-30,k_mgl,0.62,PRM
1992-10-30,mg_mgl,1.5975,PRM
1992-10-30,nh4_ugl,NA,PRM
1992-10-30,no3_ugl,35.166666666666664,PRM
1992-10-30,ca_mgl,6.53125,PRM
1993-01-01,k_mgl,0.7222222222222222,PRM
1993-01-01,mg_mgl,1.981111111111111,PRM
1993-01-01,nh4_ugl,NA,PRM
1993-01-01,no3_ugl,78,PRM
1993-01-01,ca_mgl,7.802222222222222,PRM
1993-03-05,k_mgl,0.8533333333333334,PRM
1993-03-05,mg_mgl,2.3055555555555554,PRM
1993-03-05,nh4_ugl,NA,PRM
1993-03-05,no3_ugl,80.22222222222223,PRM
1993-03-05,ca_mgl,9.028888888888888,PRM
1993-05-07,k_mgl,0.8077777777777778,PRM
1993-05-07,mg_mgl,2.051111111111111,PRM
1993-05-07,nh4_ugl,NA,PRM
1993-05-07,no3_ugl,55.33333333333333,PRM
1993-05-07,ca_mgl,8.234444444444444,PRM
1993-07-09,k_mgl,0.8075,PRM
1993-07-09,mg_mgl,1.97375,PRM
1993-07-09,nh4_ugl,NA,PRM
1993-07-09,no3_ugl,50.75,PRM
1993-07-09,ca_mgl,8.455,PRM
1993-09-10,k_mgl,0.6866666666666666,PRM
1993-09-10,mg_mgl,1.9444444444444444,PRM
1993-09-10,nh4_ugl,NA,PRM
1993-09-10,no3_ugl,38.888888888888886,PRM
1993-09-10,ca_mgl,7.8822222222222225,PRM
1993-11-12,k_mgl,0.5988888888888889,PRM
1993-11-12,mg_mgl,1.5222222222222221,PRM
1993-11-12,nh4_ugl,NA,PRM
1993-11-12,no3_ugl,33.2,PRM
1993-11-12,ca_mgl,6.6,PRM
1994-01-14,k_mgl,0.6366666666666667,PRM
1994-01-14,mg_mgl,1.8822222222222222,PRM
1994-01-14,nh4_ugl,NA,PRM
1994-01-14,no3_ugl,6.333333333333333,PRM
1994-01-14,ca_mgl,8,PRM
1994-03-18,k_mgl,0.7588888888888888,PRM
1994-03-18,mg_mgl,2.1155555555555554,PRM
1994-03-18,nh4_ugl,NA,PRM
1994-03-18,no3_ugl,18.4,PRM
1994-03-18,ca_mgl,9.256666666666666,PRM
1994-05-20,k_mgl,0.8277777777777777,PRM
1994-05-20,mg_mgl,2.3544444444444443,PRM
1994-05-20,nh4_ugl,NA,PRM
1994-05-20,no3_ugl,24.75,PRM
1994-05-20,ca_mgl,8.94111111111111,PRM
1994-07-22,k_mgl,0.8722222222222222,PRM
1994-07-22,mg_mgl,2.428888888888889,PRM
1994-07-22,nh4_ugl,NA,PRM
1994-07-22,no3_ugl,179,PRM
1994-07-22,ca_mgl,9.212222222222222,PRM
1994-09-23,k_mgl,0.7644444444444445,PRM
1994-09-23,mg_mgl,1.93,PRM
1994-09-23,nh4_ugl,NA,PRM
1994-09-23,no3_ugl,NA,PRM
1994-09-23,ca_mgl,8.956666666666667,PRM
1994-11-25,k_mgl,0.7111111111111111,PRM
1994-11-25,mg_mgl,2.256666666666667,PRM
1994-11-25,nh4_ugl,NA,PRM
1994-11-25,no3_ugl,43,PRM
1994-11-25,ca_mgl,8.879999999999999,PRM
1988-01-01,k_mgl,0.8066666666666666,BQ1
1988-01-01,mg_mgl,2.1926666666666668,BQ1
1988-01-01,nh4_ugl,27.533333333333335,BQ1
1988-01-01,no3_ugl,155.06666666666666,BQ1
1988-01-01,ca_mgl,3.42,BQ1
1988-03-04,k_mgl,0.89,BQ1
1988-03-04,mg_mgl,1.976875,BQ1
1988-03-04,nh4_ugl,22.125,BQ1
1988-03-04,no3_ugl,207.8125,BQ1
1988-03-04,ca_mgl,3.084375,BQ1
1988-05-06,k_mgl,0.8811111111111111,BQ1
1988-05-06,mg_mgl,2.183,BQ1
1988-05-06,nh4_ugl,90.625,BQ1
1988-05-06,no3_ugl,157.5,BQ1
1988-05-06,ca_mgl,2.9850000000000003,BQ1
1988-07-08,k_mgl,0.7607692307692308,BQ1
1988-07-08,mg_mgl,1.9523076923076923,BQ1
1988-07-08,nh4_ugl,15.5,BQ1
1988-07-08,no3_ugl,63,BQ1
1988-07-08,ca_mgl,2.686923076923077,BQ1
1988-09-09,k_mgl,0.7925,BQ1
1988-09-09,mg_mgl,2.43875,BQ1
1988-09-09,nh4_ugl,50.25,BQ1
1988-09-09,no3_ugl,140.55555555555554,BQ1
1988-09-09,ca_mgl,3.665,BQ1
1988-11-11,k_mgl,0.8444444444444444,BQ1
1988-11-11,mg_mgl,2.3722222222222222,BQ1
1988-11-11,nh4_ugl,NA,BQ1
1988-11-11,no3_ugl,153.625,BQ1
1988-11-11,ca_mgl,4.15125,BQ1
1989-01-13,k_mgl,0.9088888888888889,BQ1
1989-01-13,mg_mgl,2.783333333333333,BQ1
1989-01-13,nh4_ugl,NA,BQ1
1989-01-13,no3_ugl,130.11111111111111,BQ1
1989-01-13,ca_mgl,4.293333333333333,BQ1
1989-03-17,k_mgl,0.8544444444444445,BQ1
1989-03-17,mg_mgl,2.738888888888889,BQ1
1989-03-17,nh4_ugl,NA,BQ1
1989-03-17,no3_ugl,141.88888888888889,BQ1
1989-03-17,ca_mgl,4.444444444444445,BQ1
1989-05-19,k_mgl,0.9477777777777777,BQ1
1989-05-19,mg_mgl,2.901111111111111,BQ1
1989-05-19,nh4_ugl,NA,BQ1
1989-05-19,no3_ugl,123,BQ1
1989-05-19,ca_mgl,4.5344444444444445,BQ1
1989-07-21,k_mgl,0.9275,BQ1
1989-07-21,mg_mgl,2.6675,BQ1
1989-07-21,nh4_ugl,NA,BQ1
1989-07-21,no3_ugl,99.57142857142857,BQ1
1989-07-21,ca_mgl,4.0625,BQ1
1989-09-22,k_mgl,1.2953846153846154,BQ1
1989-09-22,mg_mgl,2.970833333333333,BQ1
1989-09-22,nh4_ugl,NA,BQ1
1989-09-22,no3_ugl,365,BQ1
1989-09-22,ca_mgl,4.2,BQ1
1989-11-24,k_mgl,1.1466666666666667,BQ1
1989-11-24,mg_mgl,3.2266666666666666,BQ1
1989-11-24,nh4_ugl,NA,BQ1
1989-11-24,no3_ugl,99,BQ1
1989-11-24,ca_mgl,5.8566666666666665,BQ1
1990-01-26,k_mgl,1.2344444444444445,BQ1
1990-01-26,mg_mgl,3.1666666666666665,BQ1
1990-01-26,nh4_ugl,NA,BQ1
1990-01-26,no3_ugl,211.375,BQ1
1990-01-26,ca_mgl,5.546666666666667,BQ1
1990-03-30,k_mgl,1.3628571428571428,BQ1
1990-03-30,mg_mgl,2.5492857142857144,BQ1
1990-03-30,nh4_ugl,NA,BQ1
1990-03-30,no3_ugl,450.30769230769226,BQ1
1990-03-30,ca_mgl,4.312857142857143,BQ1
1990-06-01,k_mgl,1.1555555555555554,BQ1
1990-06-01,mg_mgl,3.2333333333333334,BQ1
1990-06-01,nh4_ugl,NA,BQ1
1990-06-01,no3_ugl,143.77777777777777,BQ1
1990-06-01,ca_mgl,5.4944444444444445,BQ1
1990-08-03,k_mgl,0.8844444444444445,BQ1
1990-08-03,mg_mgl,3.2688888888888887,BQ1
1990-08-03,nh4_ugl,NA,BQ1
1990-08-03,no3_ugl,80.83333333333334,BQ1
1990-08-03,ca_mgl,5.841111111111111,BQ1
1990-10-05,k_mgl,1.007,BQ1
1990-10-05,mg_mgl,2.832,BQ1
1990-10-05,nh4_ugl,NA,BQ1
1990-10-05,no3_ugl,108.5,BQ1
1990-10-05,ca_mgl,4.603,BQ1
1990-12-07,k_mgl,0.983,BQ1
1990-12-07,mg_mgl,2.988,BQ1
1990-12-07,nh4_ugl,NA,BQ1
1990-12-07,no3_ugl,155.375,BQ1
1990-12-07,ca_mgl,5.297,BQ1
1991-02-08,k_mgl,0.8122222222222223,BQ1
1991-02-08,mg_mgl,3.16,BQ1
1991-02-08,nh4_ugl,NA,BQ1
1991-02-08,no3_ugl,70.66666666666667,BQ1
1991-02-08,ca_mgl,5.701111111111111,BQ1
1991-04-12,k_mgl,0.923,BQ1
1991-04-12,mg_mgl,2.9539999999999997,BQ1
1991-04-12,nh4_ugl,NA,BQ1
1991-04-12,no3_ugl,43.77777777777778,BQ1
1991-04-12,ca_mgl,5.176,BQ1
1991-06-14,k_mgl,0.7644444444444445,BQ1
1991-06-14,mg_mgl,3.3777777777777778,BQ1
1991-06-14,nh4_ugl,NA,BQ1
1991-06-14,no3_ugl,32.42857142857143,BQ1
1991-06-14,ca_mgl,5.622222222222223,BQ1
1991-08-16,k_mgl,1.165,BQ1
1991-08-16,mg_mgl,3.614,BQ1
1991-08-16,nh4_ugl,NA,BQ1
1991-08-16,no3_ugl,63.5,BQ1
1991-08-16,ca_mgl,5.84,BQ1
1991-10-18,k_mgl,1.1483333333333334,BQ1
1991-10-18,mg_mgl,2.685833333333333,BQ1
1991-10-18,nh4_ugl,NA,BQ1
1991-10-18,no3_ugl,118.16666666666666,BQ1
1991-10-18,ca_mgl,4.1425,BQ1
1991-12-20,k_mgl,1.221,BQ1
1991-12-20,mg_mgl,3.004,BQ1
1991-12-20,nh4_ugl,NA,BQ1
1991-12-20,no3_ugl,184.55555555555554,BQ1
1991-12-20,ca_mgl,5.06,BQ1
1992-02-21,k_mgl,1.1111111111111112,BQ1
1992-02-21,mg_mgl,3.578888888888889,BQ1
1992-02-21,nh4_ugl,NA,BQ1
1992-02-21,no3_ugl,79.75,BQ1
1992-02-21,ca_mgl,6.308888888888889,BQ1
1992-04-24,k_mgl,1.031111111111111,BQ1
1992-04-24,mg_mgl,2.59,BQ1
1992-04-24,nh4_ugl,NA,BQ1
1992-04-24,no3_ugl,57.125,BQ1
1992-04-24,ca_mgl,4.303333333333334,BQ1
1992-06-26,k_mgl,1.1466666666666667,BQ1
1992-06-26,mg_mgl,3.2455555555555557,BQ1
1992-06-26,nh4_ugl,NA,BQ1
1992-06-26,no3_ugl,140.625,BQ1
1992-06-26,ca_mgl,5.6066666666666665,BQ1
1992-08-28,k_mgl,1.0655555555555556,BQ1
1992-08-28,mg_mgl,3.517777777777778,BQ1
1992-08-28,nh4_ugl,NA,BQ1
1992-08-28,no3_ugl,67.71428571428571,BQ1
1992-08-28,ca_mgl,6.2,BQ1
1992-10-30,k_mgl,0.9622222222222222,BQ1
1992-10-30,mg_mgl,2.4955555555555557,BQ1
1992-10-30,nh4_ugl,NA,BQ1
1992-10-30,no3_ugl,33,BQ1
1992-10-30,ca_mgl,4.543333333333333,BQ1
1993-01-01,k_mgl,1.1344444444444444,BQ1
1993-01-01,mg_mgl,3.181111111111111,BQ1
1993-01-01,nh4_ugl,NA,BQ1
1993-01-01,no3_ugl,20,BQ1
1993-01-01,ca_mgl,4.975555555555555,BQ1
1993-03-05,k_mgl,1.1744444444444444,BQ1
1993-03-05,mg_mgl,3.671111111111111,BQ1
1993-03-05,nh4_ugl,NA,BQ1
1993-03-05,no3_ugl,137.11111111111111,BQ1
1993-03-05,ca_mgl,5.795555555555556,BQ1
1993-05-07,k_mgl,1.1577777777777778,BQ1
1993-05-07,mg_mgl,3.2222222222222223,BQ1
1993-05-07,nh4_ugl,NA,BQ1
1993-05-07,no3_ugl,28.333333333333332,BQ1
1993-05-07,ca_mgl,5.611111111111111,BQ1
1993-07-09,k_mgl,1.0033333333333334,BQ1
1993-07-09,mg_mgl,3.013333333333333,BQ1
1993-07-09,nh4_ugl,NA,BQ1
1993-07-09,no3_ugl,44.6,BQ1
1993-07-09,ca_mgl,5.467777777777778,BQ1
1993-09-10,k_mgl,1.1211111111111112,BQ1
1993-09-10,mg_mgl,3.3266666666666667,BQ1
1993-09-10,nh4_ugl,NA,BQ1
1993-09-10,no3_ugl,28.333333333333332,BQ1
1993-09-10,ca_mgl,5.921111111111111,BQ1
1993-11-12,k_mgl,1.18,BQ1
1993-11-12,mg_mgl,3.1688888888888886,BQ1
1993-11-12,nh4_ugl,NA,BQ1
1993-11-12,no3_ugl,22.166666666666668,BQ1
1993-11-12,ca_mgl,5.688888888888889,BQ1
1994-01-14,k_mgl,1.0055555555555555,BQ1
1994-01-14,mg_mgl,2.951111111111111,BQ1
1994-01-14,nh4_ugl,NA,BQ1
1994-01-14,no3_ugl,13.5,BQ1
1994-01-14,ca_mgl,5.302222222222222,BQ1
1994-03-18,k_mgl,1.051111111111111,BQ1
1994-03-18,mg_mgl,3.347777777777778,BQ1
1994-03-18,nh4_ugl,NA,BQ1
1994-03-18,no3_ugl,65.66666666666667,BQ1
1994-03-18,ca_mgl,6.14,BQ1
1994-05-20,k_mgl,1.21,BQ1
1994-05-20,mg_mgl,3.85,BQ1
1994-05-20,nh4_ugl,NA,BQ1
1994-05-20,no3_ugl,51.22222222222222,BQ1
1994-05-20,ca_mgl,6.785,BQ1
1994-07-22,k_mgl,1.2377777777777779,BQ1
1994-07-22,mg_mgl,3.398888888888889,BQ1
1994-07-22,nh4_ugl,NA,BQ1
1994-07-22,no3_ugl,NA,BQ1
1994-07-22,ca_mgl,6.015555555555555,BQ1
1994-09-23,k_mgl,1.12,BQ1
1994-09-23,mg_mgl,3.183333333333333,BQ1
1994-09-23,nh4_ugl,NA,BQ1
1994-09-23,no3_ugl,NA,BQ1
1994-09-23,ca_mgl,5.921111111111111,BQ1
1994-11-25,k_mgl,1.09375,BQ1
1994-11-25,mg_mgl,3.1375,BQ1
1994-11-25,nh4_ugl,NA,BQ1
1994-11-25,no3_ugl,109,BQ1
1994-11-25,ca_mgl,5.74,BQ1
1988-01-01,k_mgl,0.8672222222222222,BQ2
1988-01-01,mg_mgl,2.11,BQ2
1988-01-01,nh4_ugl,18.5,BQ2
1988-01-01,no3_ugl,239.1875,BQ2
1988-01-01,ca_mgl,4.415555555555556,BQ2
1988-03-04,k_mgl,0.7833333333333333,BQ2
1988-03-04,mg_mgl,2.316666666666667,BQ2
1988-03-04,nh4_ugl,27.142857142857142,BQ2
1988-03-04,no3_ugl,192.33333333333334,BQ2
1988-03-04,ca_mgl,4.243333333333333,BQ2
1988-05-06,k_mgl,0.7969999999999999,BQ2
1988-05-06,mg_mgl,2.1189999999999998,BQ2
1988-05-06,nh4_ugl,74.42857142857143,BQ2
1988-05-06,no3_ugl,239.33333333333334,BQ2
1988-05-06,ca_mgl,3.587,BQ2
1988-07-08,k_mgl,0.7846666666666666,BQ2
1988-07-08,mg_mgl,2.0286666666666666,BQ2
1988-07-08,nh4_ugl,14,BQ2
1988-07-08,no3_ugl,178.33333333333334,BQ2
1988-07-08,ca_mgl,3.446,BQ2
1988-09-09,k_mgl,0.77,BQ2
1988-09-09,mg_mgl,2.37,BQ2
1988-09-09,nh4_ugl,47,BQ2
1988-09-09,no3_ugl,205,BQ2
1988-09-09,ca_mgl,4.55,BQ2
1988-11-11,k_mgl,0.8722222222222222,BQ2
1988-11-11,mg_mgl,2.3633333333333333,BQ2
1988-11-11,nh4_ugl,NA,BQ2
1988-11-11,no3_ugl,220.66666666666666,BQ2
1988-11-11,ca_mgl,4.161111111111111,BQ2
1989-01-13,k_mgl,0.9011111111111111,BQ2
1989-01-13,mg_mgl,2.52,BQ2
1989-01-13,nh4_ugl,NA,BQ2
1989-01-13,no3_ugl,232.8,BQ2
1989-01-13,ca_mgl,4.592222222222222,BQ2
1989-03-17,k_mgl,0.8766666666666667,BQ2
1989-03-17,mg_mgl,2.8766666666666665,BQ2
1989-03-17,nh4_ugl,NA,BQ2
1989-03-17,no3_ugl,190.55555555555554,BQ2
1989-03-17,ca_mgl,4.467777777777778,BQ2
1989-05-19,k_mgl,0.9522222222222222,BQ2
1989-05-19,mg_mgl,2.5166666666666666,BQ2
1989-05-19,nh4_ugl,NA,BQ2
1989-05-19,no3_ugl,166.66666666666666,BQ2
1989-05-19,ca_mgl,4.615555555555556,BQ2
1989-07-21,k_mgl,0.995,BQ2
1989-07-21,mg_mgl,2.545,BQ2
1989-07-21,nh4_ugl,NA,BQ2
1989-07-21,no3_ugl,143.25,BQ2
1989-07-21,ca_mgl,4.9075,BQ2
1989-09-22,k_mgl,1.4284615384615384,BQ2
1989-09-22,mg_mgl,2.9316666666666666,BQ2
